"bill_number","bill_id","session_id","session","session_name","bill_url","state_link","bill_title","type","bill_desc","status","status_date","session_year","two_year_period"
"S0020",1941849,2203,"2025-2025_1st_Special_Session","2025 First Special Session","https://legiscan.com/FL/bill/S0020/2025/X1","https://www.flsenate.gov/Session/Bill/2025A/20A","Postsecondary Out-of-state Fee Waivers",NA,"Deleting provisions relating to the waiver of out-of-state fees for certain students, including students who are undocumented for federal immigration purposes, etc.",6,"2025-01-27",2025,"2025-2026"
"S0022",1941838,2203,"2025-2025_1st_Special_Session","2025 First Special Session","https://legiscan.com/FL/bill/S0022/2025/X1","https://www.flsenate.gov/Session/Bill/2025A/22A","Combatting Illegal Immigration",NA,"Providing that specified persons and entities are immune from liability for damages arising from certain causes of action; requiring the state to indemnify certain elected or appointed persons; specifying that persons entitled to indemnification are entitled to representation by the Attorney General; creating a civil cause of action for victims of any crime committed by aliens under certain circumstances against any person who knowingly and willfully aided or assisted the alien in entering this state; providing criminal penalties for adult aliens who knowingly enter or attempt to enter this state after entering the United States by eluding or avoiding examination or inspection by immigration officers, etc.",6,"2025-01-27",2025,"2025-2026"
"H0001",1942322,2204,"2025-2025_2nd_Special_Session","2025 Second Special Session","https://legiscan.com/FL/bill/H0001/2025/X2","https://www.flsenate.gov/Session/Bill/2025B/1B","Immigration",NA,"Revises provisions related to immigration including identification of chief immigration officer & creation of Office of State Immigration Enforcement , duties, responsibilities, & requirements for such officer & office; creation of a grant program for certain purposes; noncitizen voting; noncitizen employment; drivers license & identification cards for noncitizens; immigration detainers; release of noncitizens from custody; cooperation & coordination with federal authorities & enforcement of immigration laws; emergencies related to immigration; & scholarships for noncitizens.",1,"2025-01-27",2025,"2025-2026"
"S0002",1942320,2204,"2025-2025_2nd_Special_Session","2025 Second Special Session","https://legiscan.com/FL/bill/S0002/2025/X2","https://www.flsenate.gov/Session/Bill/2025B/2B","Immigration",NA,"Citing this act as the ""Tackling and Reforming Unlawful Migration Policy (TRUMP) Act""; providing that the Commissioner of Agriculture is the only person responsible for serving as liaison between certain entities regarding federal immigration laws; creating the Local Law Enforcement Immigration Grant Program within the Office of State Immigration Enforcement within the Division of Law Enforcement under the Department of Agriculture and Consumer Services for specified purposes; creating the Office of State Immigration Enforcement within the Division of Law Enforcement under the Department of Agriculture and Consumer Services for specified purposes, etc.",5,"2025-02-20",2025,"2025-2026"
"H0001",1964471,2212,"2025-2025_3rd_Special_Session","2025 Third Special Session","https://legiscan.com/FL/bill/H0001/2025/X3","https://www.flsenate.gov/Session/Bill/2025C/1C","Immigration",NA,"Revises provisions related to immigration including voting by noncitizens, valid identification, driver licenses, offenses committed by unauthorized aliens, unauthorized alien defendants, enforcement of federal immigration laws, immigration detainers, suspension from office, transport of unauthorized aliens, and fee waivers.",1,"2025-02-10",2025,"2025-2026"
"H0003",1964472,2212,"2025-2025_3rd_Special_Session","2025 Third Special Session","https://legiscan.com/FL/bill/H0003/2025/X3","https://www.flsenate.gov/Session/Bill/2025C/3C","Immigration",NA,"Revises provisions related to immigration including unauthorized aliens who enter the US without proper inspection, unauthorized aliens who have been denied admission, deported, excluded, or removed from the US, & unauthorized aliens who are convicted of capital offenses.",1,"2025-02-10",2025,"2025-2026"
"H0005",1964467,2212,"2025-2025_3rd_Special_Session","2025 Third Special Session","https://legiscan.com/FL/bill/H0005/2025/X3","https://www.flsenate.gov/Session/Bill/2025C/5C","Immigration Guidance and Training Opportunities",NA,"Urges Secretary of Homeland Security to provide guidance, training opportunities, & any other directives to ensure cooperation & coordination with 287(g) agreements.",1,"2025-02-10",2025,"2025-2026"
"H8001",1967969,2212,"2025-2025_3rd_Special_Session","2025 Third Special Session","https://legiscan.com/FL/bill/H8001/2025/X3","https://www.flsenate.gov/Session/Bill/2025C/8001C","Marjory Stoneman Douglas High School Memorial Day",NA,"Recognizes February 14, 2025, as ""Marjory Stoneman Douglas High School Memorial Day.""",1,"2025-02-11",2025,"2025-2026"
"S0002",1964469,2212,"2025-2025_3rd_Special_Session","2025 Third Special Session","https://legiscan.com/FL/bill/S0002/2025/X3","https://www.flsenate.gov/Session/Bill/2025C/2C","Immigration",NA,"Providing that certain persons who vote in an election are guilty of a felony; prohibiting the Department of Highway Safety and Motor Vehicles from issuing a driver license or identification card to unauthorized aliens and undocumented immigrants; requiring a state attorney to seek to have the court sentence certain persons as dangerous unauthorized alien offenders; creating the State Board of Immigration Enforcement within the Department of Law Enforcement; creating the State Immigration Enforcement Council within the State Board of Immigration Enforcement for a specified purpose; requiring the Attorney General to initiate judicial proceedings in the name of the state in order to enforce compliance with an immigration detainer issued by a federal immigration agency; creating the Unauthorized Alien Transport Program within the Division of Emergency Management within the Executive Office of the Governor for a specified purpose, etc.",4,"2025-02-14",2025,"2025-2026"
"S0004",1964468,2212,"2025-2025_3rd_Special_Session","2025 Third Special Session","https://legiscan.com/FL/bill/S0004/2025/X3","https://www.flsenate.gov/Session/Bill/2025C/4C","Immigration",NA,"Providing criminal penalties for adult unauthorized aliens who knowingly enter or attempt to enter this state after entering the United States by eluding or avoiding examination or inspection by immigration officers; providing enhanced criminal penalties for second or subsequent convictions; specifying that such aliens are not eligible for any civil citation or other prearrest or postarrest diversion program; providing criminal penalties for an adult unauthorized alien who, after having been denied admission, excluded, deported, or removed or having departed the United States during the time an order of exclusion, deportation, or removal is outstanding, thereafter enters, attempts to enter, or is at any time found in this state, etc.",4,"2025-02-14",2025,"2025-2026"
"S0006",1964470,2212,"2025-2025_3rd_Special_Session","2025 Third Special Session","https://legiscan.com/FL/bill/S0006/2025/X3","https://www.flsenate.gov/Session/Bill/2025C/6C","Secretary of Homeland Security",NA,"Urging the United States Department of Homeland Security to provide guidance and training opportunities for 287(g) agreements, etc.",4,"2025-02-13",2025,"2025-2026"
"H0011",1894920,2135,"2025-2025_Regular_Session","2025 Regular Session","https://legiscan.com/FL/bill/H0011/2025","https://www.flsenate.gov/Session/Bill/2025/11","Municipal Water and Sewer Utility Rates",NA,"Requires municipality to charge consumers receiving its utility services in another municipality same rates, fees, & charges as it charges consumers within its own municipal boundaries.",2,"2025-03-27",2025,"2025-2026"
"H0013",1894895,2135,"2025-2025_Regular_Session","2025 Regular Session","https://legiscan.com/FL/bill/H0013/2025","https://www.flsenate.gov/Session/Bill/2025/13","Windstorm Coverage by Citizens Property Insurance Corporation",NA,"Requires Citizens Property Insurance Corporation to make windstorm coverage available to homeowners for any residential structures and to commercial lines residential structures; provides requirements for windstorm coverage; authorizes homeowners to obtain windstorm coverage from certain insurance agents; provides underwriting & administering requirements for windstorm coverage portion of insurance; provides requirements for claims settlement payments; revises requirements for corporation's plan of operation; revises certain statements obtained by agents from applicants for coverage from corporation.",1,"2024-12-06",2025,"2025-2026"
"H0015",1894890,2135,"2025-2025_Regular_Session","2025 Regular Session","https://legiscan.com/FL/bill/H0015/2025","https://www.flsenate.gov/Session/Bill/2025/15","Storage of Handguns in Private Conveyances and Vessels",NA,"Provides requirements for storage of handguns in private conveyances & vessels; requires law enforcement agencies to engage in specified promotional campaign; requires counties to adopt specified ordinances concerning parents of children who have been found to have stolen handgun from conveyances or vessels.",1,"2024-12-06",2025,"2025-2026"
"H0017",1894925,2135,"2025-2025_Regular_Session","2025 Regular Session","https://legiscan.com/FL/bill/H0017/2025","https://www.flsenate.gov/Session/Bill/2025/17","Florida Bright Futures Scholarship Program",NA,"Requires public middle schools to provide for administration of PSAT/NMSQT to students who meet specified criteria for specified purposes relating to Florida Bright Futures Program; requires specified test preparation resources & information be provided to certain students; provides for funding for such assessments & resources; & revises eligibility criteria for certain awards under Florida Bright Futures Scholarship Program.",1,"2024-12-06",2025,"2025-2026"
"H0019",1894906,2135,"2025-2025_Regular_Session","2025 Regular Session","https://legiscan.com/FL/bill/H0019/2025","https://www.flsenate.gov/Session/Bill/2025/19","Victims of Domestic Violence and Dating Violence",NA,"Requires Division of Telecommunications within DMS to consult with certain entities to conduct feasibility study regarding specified alert system; provides requirements for such alert system; requires division to report to Legislature results of feasibility study by specified date; revises legislative findings to include victims of dating violence; defines ""dating violence""; authorizes victims of dating violence to apply to participate in Attorney General's address confidentiality program.",1,"2024-12-06",2025,"2025-2026"
"H0021",1894885,2135,"2025-2025_Regular_Session","2025 Regular Session","https://legiscan.com/FL/bill/H0021/2025","https://www.flsenate.gov/Session/Bill/2025/21","Dental Therapy",NA,"Authorizes Medicaid to reimburse for dental services provided by certain mobile dental units; creates Council on Dental Therapy; specifies licensure requirements, services, limitations, & prohibitions relating to practice of dental therapy; requires DOH, in consultation with Board of Dentistry & AHCA, to submit reports to Legislature.",1,"2024-12-06",2025,"2025-2026"
"H0023",1894901,2135,"2025-2025_Regular_Session","2025 Regular Session","https://legiscan.com/FL/bill/H0023/2025","https://www.flsenate.gov/Session/Bill/2025/23","Prescriptive Authority Certification for Psychologists",NA,"Requires Board of Psychology to certify psychologists to exercise prescriptive authority if specified criteria are met; requires board to maintain current record of every prescribing psychologist authorized to prescribe controlled substances; requires board to establish interim panel; requires panel to submit recommendations for rules to board by specified date; requires panel to develop formulary for prescribing psychologists; provides for expiration of panel on specified date.",1,"2024-12-06",2025,"2025-2026"
"H0025",1894910,2135,"2025-2025_Regular_Session","2025 Regular Session","https://legiscan.com/FL/bill/H0025/2025","https://www.flsenate.gov/Session/Bill/2025/25","Damages Recoverable in Wrongful Death Actions",NA,"Removes provision that prohibits adult children & parents of adult children from recovering certain damages in medical negligence suits.",1,"2024-12-06",2025,"2025-2026"
"H0027",1894929,2135,"2025-2025_Regular_Session","2025 Regular Session","https://legiscan.com/FL/bill/H0027/2025","https://www.flsenate.gov/Session/Bill/2025/27","Social Work Licensure Interstate Compact",NA,"Creates Social Work Licensure Interstate Compact; provides for recognition of access to social work services, including through telehealth, in member states; provides for development of data system, reporting procedures, & exchange of specified information between member states; specifies licensees practicing in remote state under compact must adhere to laws & rules of that state.",1,"2024-12-06",2025,"2025-2026"
"H0029",1894965,2135,"2025-2025_Regular_Session","2025 Regular Session","https://legiscan.com/FL/bill/H0029/2025","https://www.flsenate.gov/Session/Bill/2025/29","Pub. Rec. and Meetings/Social Work Licensure Interstate Compact",NA,"Provides public records & meetings exemptions relating to Social Work Licensure Interstate Compact & its committees; provides for future legislative review & repeal of exemptions; provides statements of public necessity.",1,"2024-12-06",2025,"2025-2026"
"H0031",1894992,2135,"2025-2025_Regular_Session","2025 Regular Session","https://legiscan.com/FL/bill/H0031/2025","https://www.flsenate.gov/Session/Bill/2025/31","Carrying and Possession of Weapons and Firearms",NA,"Prohibits carrying of concealed handgun or unconcealed firearm without license & possession of such handgun or firearm without valid identification; repeals provisions relating to arrests without warrant & exemption from licensing requirements for law enforcement officers; allows open carrying of any otherwise legal firearm or electric weapon or device; revises list of places into which person may not carry handgun or concealed weapon or concealed firearm; provides exceptions; deletes provisions relating to open carry, collection of fees for licenses to carry concealed weapons or concealed firearms, allowing school districts to restrict possession of firearm in vehicle, exceptions to statutory protections of right to keep & bear arms in motor vehicles; revises definition of ""bump-fire stock""; repeals provisions for risk protection orders.",1,"2024-12-09",2025,"2025-2026"
"H0033",1894985,2135,"2025-2025_Regular_Session","2025 Regular Session","https://legiscan.com/FL/bill/H0033/2025","https://www.flsenate.gov/Session/Bill/2025/33","Agreement Among the States to Elect the President by National Popular Vote",NA,"Provides for enactment of Agreement Among States to Elect President by National Popular Vote; provides method by which state may become member state; requires statewide popular election for President & Vice President of U.S.; establishes procedure for appointing presidential electors in member states; provides that agreement becomes effective upon occurrence of specified actions; provides for withdrawal of member state; requires notification of member states when agreement takes effect in nonmember state or when member state withdraws from agreement.",1,"2024-12-09",2025,"2025-2026"
"H0035",1894972,2135,"2025-2025_Regular_Session","2025 Regular Session","https://legiscan.com/FL/bill/H0035/2025","https://www.flsenate.gov/Session/Bill/2025/35","Heat Illness Prevention",NA,"Requires certain employers to implement outdoor heat exposure safety program that has been approved by specified departments; specifies requirements for safety program; provides responsibilities for certain employers & employees; provides exceptions; requires specified annual training on heat illness & providing requirements for such training.",1,"2024-12-09",2025,"2025-2026"
"H0037",1894990,2135,"2025-2025_Regular_Session","2025 Regular Session","https://legiscan.com/FL/bill/H0037/2025","https://www.flsenate.gov/Session/Bill/2025/37","Educator Certifications and Training",NA,"Revises provisions relating to teacher & educator preparation programs, educator certification requirements, & educator inservice training requirements to require certified educators to receive training relating to mass casualty incidents.",1,"2024-12-09",2025,"2025-2026"
"H0039",1894982,2135,"2025-2025_Regular_Session","2025 Regular Session","https://legiscan.com/FL/bill/H0039/2025","https://www.flsenate.gov/Session/Bill/2025/39","Tax Exemption for Disabled Ex-servicemembers",NA,"Increases value of tax exemption for certain disabled ex-servicemembers.",1,"2024-12-09",2025,"2025-2026"
"H0041",1895697,2135,"2025-2025_Regular_Session","2025 Regular Session","https://legiscan.com/FL/bill/H0041/2025","https://www.flsenate.gov/Session/Bill/2025/41","Pub. Rec./Victims of Domestic Violence and Dating Violence",NA,"Provides that names, addresses, telephone numbers, & social security numbers of victims of dating violence who participate in Address Confidentiality Program for Victims of Domestic & Dating Violence are exempt from public records requirements; provides for retroactive application of exemption; provides for future legislative review & repeal; provides statement of public necessity.",1,"2024-12-10",2025,"2025-2026"
"H0043",1895792,2135,"2025-2025_Regular_Session","2025 Regular Session","https://legiscan.com/FL/bill/H0043/2025","https://www.flsenate.gov/Session/Bill/2025/43","Reusable Tenant Screening Reports",NA,"Authorizes landlord to accept reusable tenant screening reports & require specified statement; requires that certain information be included in reusable tenant screening reports; prohibits landlord from charging certain fees to applicant using reusable tenant screening report.",1,"2024-12-10",2025,"2025-2026"
"H0045",1895763,2135,"2025-2025_Regular_Session","2025 Regular Session","https://legiscan.com/FL/bill/H0045/2025","https://www.flsenate.gov/Session/Bill/2025/45","Resident Status for Tuition Purposes",NA,"Provides that person may not lose his or her resident status for tuition purposes due solely to his or her incarceration in specified correctional facilities.",1,"2024-12-10",2025,"2025-2026"
"H0047",1896448,2135,"2025-2025_Regular_Session","2025 Regular Session","https://legiscan.com/FL/bill/H0047/2025","https://www.flsenate.gov/Session/Bill/2025/47","Child Care and Early Learning Providers",NA,"Provides exemption for public & private preschools from specified special assessments levied by municipality; defines ""preschool""; revises licensing standards for all licensed child care facilities & minimum standards & training requirements for child care personnel; requires DCF to conduct specified screenings of child care personnel within specified timeframe & issue provisional approval of such personnel under certain conditions; revises minimum standards for sanitation & safety of child care facilities; removes provisions relating to educating parents & children about specified topics; removes provisions relating to specialized child care facilities for care of mildly ill children; requires county commission to annually affirm certain decisions; expands types of providers to be considered when developing & implementing plan to eliminate duplicative & unnecessary inspections; revises requirements for abbreviated inspection plan for certain child care facilities; removes provisions requiring family day care homes & large family child care homes to provide specified information to parents; removes provision requiring department to develop specified flyer; authorizes certain exempt child care facilities to submit application for licensure to department or local licensing agency.",1,"2024-12-12",2025,"2025-2026"
"H0049",1896794,2135,"2025-2025_Regular_Session","2025 Regular Session","https://legiscan.com/FL/bill/H0049/2025","https://www.flsenate.gov/Session/Bill/2025/49","Specialty License Plates",NA,"Directs DHSMV to develop United States Naval Academy license plate; provides for distribution & use of fees collected from sale of plate.",1,"2024-12-13",2025,"2025-2026"
"H0051",1896964,2135,"2025-2025_Regular_Session","2025 Regular Session","https://legiscan.com/FL/bill/H0051/2025","https://www.flsenate.gov/Session/Bill/2025/51","Elections",NA,"Requires write-in candidates to pay certain fees; prohibits write-in candidate from being considered opponent for certain purposes; requires DOS to adopt rules for security of voting systems; requires such rules to prohibit connection to internet; authorizes counties to count ballots by hand at precinct level.",1,"2024-12-16",2025,"2025-2026"
"H0053",1897052,2135,"2025-2025_Regular_Session","2025 Regular Session","https://legiscan.com/FL/bill/H0053/2025","https://www.flsenate.gov/Session/Bill/2025/53","Sales of Ammunition",NA,"Requires background checks for sale or transfer of ammunition.",1,"2024-12-16",2025,"2025-2026"
"H0055",1897010,2135,"2025-2025_Regular_Session","2025 Regular Session","https://legiscan.com/FL/bill/H0055/2025","https://www.flsenate.gov/Session/Bill/2025/55","Pub. Rec./Sales of Ammunition",NA,"Provides exemption from public records requirements for records containing certain information pertaining to buyer or transferee who is not found to be prohibited from receipt or transfer of ammunition; provides for future legislative review & repeal of exemption; provides statement of public necessity.",1,"2024-12-16",2025,"2025-2026"
